"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",128,613,605,2,10,10,20883
"2","City of Alhambra",1059,1221,1217,21,24,17,86724
"3","City of Arcadia",410,710,679,28,48,31,57754
"4","City of Artesia",273,1625,1579,4,24,15,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1275,2548,2554,15,30,35,50040
"7","City of Baldwin Park",2437,3174,3149,69,90,104,76769
"8","City of Bell",1365,3757,3786,35,96,131,36332
"9","City of Bell Gardens",1652,3836,3872,20,46,74,43071
"10","City of Bellflower",2027,2608,2588,51,66,74,77735
"11","City of Beverly Hills",580,1680,1658,10,29,15,34520
"12","City of Bradbury",13,1216,1445,0,0,0,1069
"13","City of Burbank",1187,1107,1039,54,50,39,107180
"14","City of Calabasas",223,917,847,12,49,41,24323
"15","City of Carson",1520,1620,1573,45,48,38,93846
"16","City of Cerritos",482,963,1016,13,26,19,50067
"17","City of Claremont",314,861,894,8,22,13,36484
"18","City of Commerce",492,3765,3727,4,31,28,13069
"19","City of Compton",3420,3423,3421,52,52,65,99904
"20","City of Covina",1157,2360,2341,21,43,39,49032
"21","City of Cudahy",961,3947,3987,15,62,102,24347
"22","City of Culver City",352,883,851,29,73,49,39865
"23","City of Diamond Bar",467,812,794,7,12,8,57515
"24","City of Downey",3479,3045,2971,75,66,65,114263
"25","City of Duarte",433,1967,1839,25,114,71,22016
"26","City of El Monte",3792,3234,3200,122,104,105,117269
"27","City of El Segundo",110,655,635,1,6,3,16786
"28","City of Gardena",1023,1669,1653,36,59,41,61310
"29","City of Glendale",2789,1351,1233,150,73,50,206493
"30","City of Glendora",1099,2083,1950,57,108,82,52764
"31","City of Hawaiian Gardens",449,3059,3000,2,14,16,14676
"32","City of Hawthorne",1673,1884,1861,33,37,43,88787
"33","City of Hermosa Beach",178,905,869,3,15,20,19670
"34","City of Hidden Hills",7,370,204,0,0,0,1890
"35","City of Huntington Park",2457,4131,4113,38,64,83,59484
"36","City of Industry",29,6636,7118,2,458,556,437
"37","City of Inglewood",2460,2166,2140,81,71,77,113582
"38","City of Irwindale",60,4112,4153,2,137,155,1459
"39","City of La Canada Flintridge",144,696,804,7,34,21,20693
"40","City of La Habra Heights",32,587,546,0,0,0,5455
"41","City of La Mirada",733,1478,1402,24,48,34,49599
"42","City of La Puente",1272,3126,3057,12,29,31,40697
"43","City of La Verne",378,1136,1182,10,30,16,33282
"44","City of Lakewood",1056,1314,1315,8,10,8,80362
"45","City of Lancaster",2627,1626,1646,36,22,28,161570
"46","City of Lawndale",543,1615,1566,9,27,34,33614
"47","City of Lomita",209,1008,979,8,39,26,20729
"48","City of Lynwood",2790,3872,3991,85,118,184,72047
"49","City of Malibu",91,702,698,3,23,11,12961
"50","City of Manhattan Beach",296,822,817,4,11,10,35999
"51","City of Maywood",1215,4332,4499,30,107,162,28049
"52","City of Monrovia",626,1613,1602,34,88,84,38800
"53","City of Montebello",1916,2976,2944,41,64,52,64375
"54","City of Monterey Park",806,1295,1268,24,39,20,62262
"55","City of Norwalk",2809,2610,2539,58,54,53,107622
"56","City of Palmdale",3299,2075,2101,46,29,35,158968
"57","City of Palos Verdes Estates",77,569,548,2,15,7,13522
"58","City of Paramount",2076,3706,3657,22,39,50,56023
"59","City of Pico Rivera",2051,3191,3119,60,93,80,64284
"60","City of Pomona",4633,2971,2945,85,55,65,155931
"61","City of Rancho Palos Verdes",250,585,606,12,28,13,42747
"62","City of Redondo Beach",488,710,737,9,13,14,68697
"63","City of Rolling Hills",5,258,480,0,0,0,1940
"64","City of Rolling Hills Estates",34,419,558,2,25,13,8113
"65","City of Rosemead",703,1270,1240,23,42,31,55350
"66","City of San Dimas",437,1266,1283,10,29,21,34516
"67","City of San Fernando",743,3019,2998,17,69,86,24612
"68","City of San Gabriel",499,1218,1126,36,88,61,40954
"69","City of San Marino",65,490,427,2,15,9,13277
"70","City of Santa Clarita",2683,1217,1223,41,19,20,220424
"71","City of Santa Fe Springs",455,2478,2473,5,27,23,18364
"72","City of Santa Monica",710,768,713,37,40,28,92446
"73","City of Sierra Madre",63,573,531,3,27,17,10989
"74","City of Signal Hill",221,1873,1909,1,8,6,11797
"75","City of South El Monte",686,3285,3267,12,57,64,20885
"76","City of South Gate",3842,3914,3848,56,57,74,98155
"77","City of South Pasadena",237,910,858,26,100,81,26053
"78","City of Temple City",455,1248,1126,40,110,70,36455
"79","City of Torrance",1201,805,778,61,41,29,149268
"80","City of Vernon",9,4306,4463,0,0,0,209
"81","City of Walnut",233,763,773,2,7,4,30532
"82","City of West Covina",2444,2258,2212,48,44,38,108235
"83","City of West Hollywood",470,1272,1148,5,14,9,36951
"84","City of Westlake Village",24,287,348,0,0,0,8360
"85","City of Whittier",1874,2143,2100,24,27,26,87432
"86","Los Angeles - Adams-Normandie",226,2755,2719,3,37,38,8202
"87","Los Angeles - Alsace",300,2411,2315,2,16,24,12445
"88","Los Angeles - Angeles National Forest",2,5000,1576,0,0,0,40
"89","Los Angeles - Angelino Heights",55,2198,2165,1,40,38,2502
"90","Los Angeles - Arleta",1188,3456,3368,21,61,73,34370
"91","Los Angeles - Atwater Village",197,1343,1302,5,34,27,14666
"92","Los Angeles - Baldwin Hills",536,1722,1718,26,84,66,31125
"93","Los Angeles - Bel Air",64,759,806,0,0,0,8429
"94","Los Angeles - Beverly Crest",98,782,906,2,16,9,12525
"95","Los Angeles - Beverlywood",131,994,1047,0,0,0,13173
"96","Los Angeles - Boyle Heights",3784,4355,4338,54,62,72,86884
"97","Los Angeles - Brentwood",236,762,710,3,10,7,30955
"98","Los Angeles - Brookside",3,516,485,0,0,0,581
"99","Los Angeles - Cadillac-Corning",106,1489,1448,1,14,27,7121
"100","Los Angeles - Canoga Park",1535,2351,2323,50,77,98,65289
"101","Los Angeles - Carthay",189,1316,1628,13,91,43,14363
"102","Los Angeles - Central",1845,4732,4799,37,95,131,38992
"103","Los Angeles - Century City",106,829,944,0,0,0,12792
"104","Los Angeles - Century Palms/Cove",1314,3891,3976,18,53,74,33766
"105","Los Angeles - Chatsworth",573,1546,1532,34,92,58,37061
"106","Los Angeles - Cheviot Hills",58,632,723,2,22,10,9171
"107","Los Angeles - Chinatown",100,1247,1229,2,25,14,8021
"108","Los Angeles - Cloverdale/Cochran",252,1732,1662,5,34,37,14553
"109","Los Angeles - Country Club Park",263,1736,1597,22,145,108,15153
"110","Los Angeles - Crenshaw District",263,1902,1911,3,22,14,13829
"111","Los Angeles - Crestview",168,1478,1445,19,167,151,11368
"112","Los Angeles - Del Rey",300,1002,1000,9,30,23,29936
"113","Los Angeles - Downtown",632,2298,2271,13,47,38,27507
"114","Los Angeles - Eagle Rock",562,1420,1373,17,43,30,39589
"115","Los Angeles - East Hollywood",539,1840,1710,43,147,126,29287
"116","Los Angeles - Echo Park",197,1382,1374,4,28,27,14256
"117","Los Angeles - El Sereno",1050,2511,2467,29,69,65,41808
"118","Los Angeles - Elysian Park",87,1523,1440,0,0,0,5712
"119","Los Angeles - Elysian Valley",224,2202,2131,3,30,27,10171
"120","Los Angeles - Encino",475,1052,1099,16,35,17,45172
"121","Los Angeles - Exposition",70,2105,1965,1,30,29,3326
"122","Los Angeles - Exposition Park",1133,2522,2589,19,42,56,44917
"123","Los Angeles - Faircrest Heights",26,722,651,2,56,46,3600
"124","Los Angeles - Figueroa Park Square",276,3165,3147,3,34,35,8721
"125","Los Angeles - Florence-Firestone",1991,4196,4239,23,48,72,47445
"126","Los Angeles - Glassell Park",580,1835,1786,13,41,34,31604
"127","Los Angeles - Gramercy Place",208,1932,1987,4,37,24,10764
"128","Los Angeles - Granada Hills",998,1715,1619,61,105,75,58191
"129","Los Angeles - Green Meadows",826,3841,3874,10,46,64,21505
"130","Los Angeles - Hancock Park",191,1121,1148,3,18,17,17039
"131","Los Angeles - Harbor City",422,1452,1440,9,31,25,29070
"132","Los Angeles - Harbor Gateway",820,1881,1838,12,28,31,43600
"133","Los Angeles - Harbor Pines",18,747,850,0,0,0,2409
"134","Los Angeles - Harvard Heights",495,2745,2682,23,128,150,18035
"135","Los Angeles - Harvard Park",1379,3635,3594,17,45,49,37935
"136","Los Angeles - Highland Park",929,1920,1880,18,37,41,48391
"137","Los Angeles - Historic Filipinotown",374,2696,2518,13,94,85,13870
"138","Los Angeles - Hollywood",982,1439,1295,10,15,15,68254
"139","Los Angeles - Hollywood Hills",245,832,927,6,20,19,29434
"140","Los Angeles - Hyde Park",691,2421,2376,14,49,41,28541
"141","Los Angeles - Jefferson Park",226,2799,2767,0,0,0,8073
"142","Los Angeles - Koreatown",998,1931,1866,25,48,47,51693
"143","Los Angeles - Lafayette Square",74,1623,1591,3,66,64,4559
"144","Los Angeles - Lake Balboa",817,1936,1925,14,33,35,42206
"145","Los Angeles - Lakeview Terrace",470,3579,3563,21,160,184,13133
"146","Los Angeles - Leimert Park",260,1707,1702,5,33,23,15235
"147","Los Angeles - Lincoln Heights",920,2822,2761,45,138,117,32597
"148","Los Angeles - Little Armenia",355,4424,3808,51,636,517,8025
"149","Los Angeles - Little Bangladesh",419,1478,1469,5,18,19,28343
"150","Los Angeles - Little Tokyo",56,1787,2028,2,64,21,3133
"151","Los Angeles - Longwood",106,2463,2393,0,0,0,4304
"152","Los Angeles - Los Feliz",169,782,821,2,9,6,21608
