"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",153,733,725,2,10,10,20883
"2","City of Alhambra",1172,1351,1347,24,28,19,86724
"3","City of Arcadia",454,786,756,31,54,34,57754
"4","City of Artesia",306,1822,1757,6,36,25,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1440,2878,2889,18,36,43,50040
"7","City of Baldwin Park",2723,3547,3516,79,103,118,76769
"8","City of Bell",1472,4052,4075,38,105,142,36332
"9","City of Bell Gardens",1792,4161,4206,21,49,77,43071
"10","City of Bellflower",2239,2880,2864,58,75,84,77735
"11","City of Beverly Hills",624,1808,1790,12,35,17,34520
"12","City of Bradbury",14,1310,1589,0,0,0,1069
"13","City of Burbank",1366,1274,1202,57,53,41,107180
"14","City of Calabasas",240,987,914,12,49,41,24323
"15","City of Carson",1726,1839,1785,54,58,45,93846
"16","City of Cerritos",530,1059,1113,13,26,19,50067
"17","City of Claremont",350,959,1000,10,27,17,36484
"18","City of Commerce",540,4132,4084,10,77,82,13069
"19","City of Compton",3771,3775,3784,61,61,75,99904
"20","City of Covina",1287,2625,2601,28,57,50,49032
"21","City of Cudahy",1037,4259,4315,15,62,102,24347
"22","City of Culver City",374,938,908,29,73,49,39865
"23","City of Diamond Bar",507,882,863,9,16,11,57515
"24","City of Downey",3793,3320,3244,82,72,71,114263
"25","City of Duarte",513,2330,2182,25,114,71,22016
"26","City of El Monte",4105,3500,3466,142,121,122,117269
"27","City of El Segundo",123,733,718,1,6,3,16786
"28","City of Gardena",1169,1907,1885,43,70,49,61310
"29","City of Glendale",3230,1564,1436,164,79,55,206493
"30","City of Glendora",1177,2231,2094,65,123,93,52764
"31","City of Hawaiian Gardens",498,3393,3327,2,14,16,14676
"32","City of Hawthorne",1849,2083,2063,42,47,54,88787
"33","City of Hermosa Beach",195,991,956,4,20,27,19670
"34","City of Hidden Hills",6,317,160,0,0,0,1890
"35","City of Huntington Park",2696,4532,4507,48,81,105,59484
"36","City of Industry",36,8238,8236,2,458,556,437
"37","City of Inglewood",2696,2374,2345,84,74,79,113582
"38","City of Irwindale",67,4592,4590,2,137,155,1459
"39","City of La Canada Flintridge",169,817,953,7,34,21,20693
"40","City of La Habra Heights",39,715,681,0,0,0,5455
"41","City of La Mirada",794,1601,1533,26,52,36,49599
"42","City of La Puente",1414,3474,3399,17,42,42,40697
"43","City of La Verne",425,1277,1336,10,30,16,33282
"44","City of Lakewood",1179,1467,1472,12,15,12,80362
"45","City of Lancaster",3012,1864,1887,42,26,32,161570
"46","City of Lawndale",590,1755,1702,10,30,39,33614
"47","City of Lomita",231,1114,1081,9,43,30,20729
"48","City of Lynwood",3040,4219,4331,92,128,199,72047
"49","City of Malibu",99,764,777,3,23,11,12961
"50","City of Manhattan Beach",326,906,900,5,14,13,35999
"51","City of Maywood",1356,4834,5016,32,114,172,28049
"52","City of Monrovia",704,1814,1810,37,95,91,38800
"53","City of Montebello",2132,3312,3282,44,68,55,64375
"54","City of Monterey Park",909,1460,1401,43,69,33,62262
"55","City of Norwalk",3045,2829,2756,70,65,64,107622
"56","City of Palmdale",3728,2345,2372,64,40,50,158968
"57","City of Palos Verdes Estates",89,658,619,2,15,7,13522
"58","City of Paramount",2244,4006,3954,28,50,66,56023
"59","City of Pico Rivera",2260,3516,3430,70,109,92,64284
"60","City of Pomona",5108,3276,3250,111,71,87,155931
"61","City of Rancho Palos Verdes",272,636,656,13,30,13,42747
"62","City of Redondo Beach",521,758,790,9,13,14,68697
"63","City of Rolling Hills",9,464,622,0,0,0,1940
"64","City of Rolling Hills Estates",40,493,612,2,25,13,8113
"65","City of Rosemead",779,1407,1375,25,45,34,55350
"66","City of San Dimas",484,1402,1400,14,41,31,34516
"67","City of San Fernando",839,3409,3377,18,73,90,24612
"68","City of San Gabriel",589,1438,1309,53,129,89,40954
"69","City of San Marino",82,618,532,2,15,9,13277
"70","City of Santa Clarita",3070,1393,1405,44,20,22,220424
"71","City of Santa Fe Springs",516,2810,2806,4,22,20,18364
"72","City of Santa Monica",814,881,832,43,47,33,92446
"73","City of Sierra Madre",68,619,571,3,27,17,10989
"74","City of Signal Hill",256,2170,2203,2,17,18,11797
"75","City of South El Monte",752,3601,3586,14,67,75,20885
"76","City of South Gate",4153,4231,4168,65,66,85,98155
"77","City of South Pasadena",254,975,920,26,100,81,26053
"78","City of Temple City",493,1352,1232,40,110,70,36455
"79","City of Torrance",1329,890,867,68,46,33,149268
"80","City of Vernon",10,4785,5018,0,0,0,209
"81","City of Walnut",248,812,832,3,10,6,30532
"82","City of West Covina",2669,2466,2412,57,53,45,108235
"83","City of West Hollywood",509,1378,1265,5,14,9,36951
"84","City of Westlake Village",29,347,397,0,0,0,8360
"85","City of Whittier",2084,2384,2343,29,33,31,87432
"86","Los Angeles - Adams-Normandie",257,3133,3088,4,49,48,8202
"87","Los Angeles - Alsace",347,2788,2672,2,16,24,12445
"88","Los Angeles - Angeles National Forest",2,5000,1576,0,0,0,40
"89","Los Angeles - Angelino Heights",68,2718,2741,1,40,38,2502
"90","Los Angeles - Arleta",1339,3896,3807,25,73,84,34370
"91","Los Angeles - Atwater Village",221,1507,1464,6,41,32,14666
"92","Los Angeles - Baldwin Hills",589,1892,1897,26,84,66,31125
"93","Los Angeles - Bel Air",77,914,948,0,0,0,8429
"94","Los Angeles - Beverly Crest",109,870,995,2,16,9,12525
"95","Los Angeles - Beverlywood",145,1101,1161,0,0,0,13173
"96","Los Angeles - Boyle Heights",4058,4671,4653,61,70,82,86884
"97","Los Angeles - Brentwood",270,872,823,3,10,7,30955
"98","Los Angeles - Brookside",3,516,485,0,0,0,581
"99","Los Angeles - Cadillac-Corning",118,1657,1619,1,14,27,7121
"100","Los Angeles - Canoga Park",1736,2659,2634,56,86,109,65289
"101","Los Angeles - Carthay",199,1386,1805,14,97,46,14363
"102","Los Angeles - Central",2045,5245,5322,41,105,153,38992
"103","Los Angeles - Century City",111,868,1007,0,0,0,12792
"104","Los Angeles - Century Palms/Cove",1425,4220,4308,18,53,74,33766
"105","Los Angeles - Chatsworth",618,1668,1669,35,94,61,37061
"106","Los Angeles - Cheviot Hills",63,687,791,2,22,10,9171
"107","Los Angeles - Chinatown",110,1371,1353,3,37,23,8021
"108","Los Angeles - Cloverdale/Cochran",283,1945,1870,5,34,37,14553
"109","Los Angeles - Country Club Park",281,1854,1715,22,145,108,15153
"110","Los Angeles - Crenshaw District",285,2061,2070,3,22,14,13829
"111","Los Angeles - Crestview",180,1583,1556,20,176,158,11368
"112","Los Angeles - Del Rey",329,1099,1097,9,30,23,29936
"113","Los Angeles - Downtown",739,2687,2766,13,47,38,27507
"114","Los Angeles - Eagle Rock",618,1561,1501,19,48,33,39589
"115","Los Angeles - East Hollywood",571,1950,1812,43,147,126,29287
"116","Los Angeles - Echo Park",219,1536,1519,4,28,27,14256
"117","Los Angeles - El Sereno",1149,2748,2699,31,74,71,41808
"118","Los Angeles - Elysian Park",91,1593,1502,0,0,0,5712
"119","Los Angeles - Elysian Valley",244,2399,2333,3,30,27,10171
"120","Los Angeles - Encino",516,1142,1197,18,40,20,45172
"121","Los Angeles - Exposition",75,2255,2128,1,30,29,3326
"122","Los Angeles - Exposition Park",1245,2772,2814,21,47,64,44917
"123","Los Angeles - Faircrest Heights",30,833,754,2,56,46,3600
"124","Los Angeles - Figueroa Park Square",305,3497,3485,4,46,46,8721
"125","Los Angeles - Florence-Firestone",2155,4542,4585,26,55,81,47445
"126","Los Angeles - Glassell Park",642,2031,1974,13,41,34,31604
"127","Los Angeles - Gramercy Place",226,2100,2159,4,37,24,10764
"128","Los Angeles - Granada Hills",1087,1868,1770,63,108,78,58191
"129","Los Angeles - Green Meadows",896,4166,4198,11,51,68,21505
"130","Los Angeles - Hancock Park",206,1209,1249,3,18,17,17039
"131","Los Angeles - Harbor City",462,1589,1580,10,34,27,29070
